epoch,step,train_loss,train_mse,val_loss,val_mse
0,49,1.0186141729354858,,,
0,61,,,0.6213691234588623,0.6213691234588623
0,61,,0.7354606986045837,,
1,99,0.6830097436904907,,,
1,123,,,0.5320119261741638,0.5320119261741638
1,123,,0.6087453365325928,,
2,149,0.5392773747444153,,,
2,185,,,0.4654732942581177,0.4654732942581177
2,185,,0.5200821757316589,,
3,199,0.2835874855518341,,,
3,247,,,0.41358816623687744,0.41358816623687744
3,247,,0.4534565508365631,,
4,249,0.3883458971977234,,,
4,299,0.20583221316337585,,,
4,309,,,0.3720865249633789,0.3720865249633789
4,309,,0.40468621253967285,,
5,349,0.2598397731781006,,,
5,371,,,0.33926597237586975,0.33926597237586975
5,371,,0.3615082800388336,,
6,399,0.18881192803382874,,,
6,433,,,0.3136880397796631,0.3136880397796631
6,433,,0.32301396131515503,,
7,449,0.26524412631988525,,,
7,495,,,0.29232344031333923,0.29232344031333923
7,495,,0.3087158799171448,,
8,499,0.4193447530269623,,,
8,504,,,0.29927825927734375,0.29927825927734375
